Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,IMG_0970,1024,1538,37.5897,127.0174,1,1,0,0,0
2,IMG_0971,2048,1538,37.5897,127.0174,1,0,0,0,0
3,IMG_0972,2048,1538,37.5897,127.0174,0,0,1,0,0
4,IMG_0973,2048,1538,37.5897,127.0174,0,0,1,0,0
5,IMG_0974,2048,1538,37.5897,127.0174,0,0,1,0,0
6,IMG_0975,2048,1538,37.5897,127.0174,1,0,0,0,0
7,IMG_0977,2048,1538,37.5897,127.0174,2,0,0,0,0
8,IMG_0978,2048,1538,37.5897,127.0174,1,0,0,0,0
9,IMG_0979,2048,1538,37.5897,127.0174,1,0,0,0,0
10,IMG_0980,2048,1538,37.5897,127.0174,1,0,0,0,0
11,IMG_0981,2048,1538,37.5897,127.0174,1,0,0,0,0
12,IMG_0984,2048,1538,37.5897,127.0174,0,0,0,1,0
13,IMG_0985,2048,1538,37.5897,127.0174,0,0,0,1,0
14,IMG_0986,1538,2048,37.5897,127.0174,0,0,0,1,0
15,IMG_0987,2048,1538,37.5897,127.0174,0,1,0,0,0
16,IMG_0988,2048,1538,37.5897,127.0174,0,1,0,0,0
17,IMG_0989,2048,1538,37.5897,127.0174,1,0,0,0,0
18,IMG_0990,2048,1538,37.5897,127.0174,1,0,0,0,0
19,IMG_0992,2048,1538,37.5897,127.0174,0,1,0,0,0
20,IMG_0993,2048,1538,37.5897,127.0174,0,1,0,0,0
21,IMG_0994,1334,971,37.5897,127.0174,0,1,0,0,0
22,IMG_0997,2048,1538,37.5897,127.0174,1,0,0,0,0
23,IMG_0998,2048,1538,37.5897,127.0174,1,0,0,0,1
24,IMG_0999,2048,1538,37.5897,127.0174,2,0,0,0,1
25,IMG_1001,2048,1538,37.5897,127.0174,1,0,0,0,0
26,IMG_1003,2048,1538,37.5897,127.0174,0,0,0,0,1
27,IMG_1004,2048,1538,37.5897,127.0174,0,1,0,0,0
28,IMG_1005,2048,1538,37.5897,127.0174,0,1,0,0,0
29,IMG_1006,2048,1538,37.5897,127.0174,0,1,0,0,0
30,IMG_1007,2048,1538,37.5897,127.0174,0,1,0,0,0
31,IMG_1008,2048,1538,37.5897,127.0174,0,1,0,0,0
32,IMG_1009,2048,1538,37.5897,127.0174,1,0,0,0,0
33,IMG_1010,2048,2048,37.5897,127.0174,1,0,0,0,0
34,IMG_1011,2048,2048,37.5897,127.0174,1,0,0,0,0
35,IMG_1012,2048,2048,37.5897,127.0174,1,0,0,0,0
36,IMG_1016,2048,1538,37.5897,127.0174,1,0,0,0,0
37,IMG_1022,2048,2048,37.5897,127.0174,1,0,0,0,0
38,IMG_1023,2048,2048,37.5897,127.0174,0,0,1,0,0
39,IMG_1028,2048,2048,37.5897,127.0174,0,1,0,0,0
40,IMG_1029,2048,2048,37.5897,127.0174,0,1,0,0,0
41,IMG_1030,2048,2048,37.5897,127.0174,1,0,0,0,0
42,IMG_1031,2048,2048,37.5897,127.0174,0,1,0,0,0
43,IMG_1032,2048,2048,37.5897,127.0174,0,1,0,0,0
44,IMG_1033,2048,2048,37.5897,127.0174,0,1,0,0,0
45,IMG_1034,2048,2048,37.5897,127.0174,0,1,0,0,0
46,IMG_1035,2048,2048,37.5897,127.0174,0,1,0,0,0
47,IMG_1036,2048,2048,37.5897,127.0174,0,1,0,0,0
48,IMG_1037,2048,2048,37.5897,127.0174,1,0,0,0,0
49,IMG_1038,2048,2048,37.5897,127.0174,0,1,0,0,0
50,IMG_1039,2048,2048,37.5897,127.0174,0,1,0,0,0
51,IMG_1040,2048,2048,37.5897,127.0174,0,1,0,0,0
52,IMG_1041,2048,2048,37.5897,127.0174,1,0,0,0,0
53,IMG_1042,2048,2048,37.5897,127.0174,1,0,0,0,0
54,IMG_1043,2048,2048,37.5897,127.0174,1,0,0,0,0
55,IMG_1044,2048,2048,37.5897,127.0174,0,1,0,0,0
56,IMG_1046,2048,2048,37.5897,127.0174,0,1,0,0,0
57,IMG_1057,2048,2048,37.5283,126.9322,1,0,0,0,0
58,IMG_1058,2048,2048,37.5283,126.9322,1,0,0,0,0
59,IMG_1060,2048,2048,37.5283,126.9322,1,1,0,0,0
60,IMG_1063,2048,2048,37.5283,126.9322,1,0,0,0,0
61,IMG_1066,2048,2048,37.5283,126.9322,1,0,0,0,0
62,IMG_1067,2048,2048,37.5283,126.9322,1,0,0,0,0
63,IMG_1068,2048,2048,37.5283,126.9322,1,0,0,0,0
64,IMG_1072,2048,2048,37.5283,126.9322,1,0,0,0,0
65,IMG_1076,2048,2048,37.5283,126.9322,1,0,0,0,0
66,IMG_1077,2048,2048,37.5283,126.9322,1,0,0,0,0
67,IMG_1078,2048,2048,37.5283,126.9322,0,1,0,0,0
68,IMG_1079,2048,2048,37.5283,126.9322,0,1,0,0,0
69,IMG_1080,2048,2048,37.5283,126.9322,0,1,0,0,0
70,IMG_1081,2048,2048,37.5283,126.9322,0,1,0,0,0
71,IMG_1082,2048,2048,37.5283,126.9322,0,1,0,0,0
72,IMG_1083,2048,2048,37.5283,126.9322,0,1,0,0,0
73,IMG_1084,2048,2048,37.5283,126.9322,0,0,1,0,0
74,IMG_1085,2048,2048,37.5283,126.9322,0,0,1,0,0
