Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,r1_s.png,1536,2048,37.59,127.02,1,0,0,0,0
2,r2_p.png,1536,2048,37,127.08,1,0,0,0,0
3,r3_s.png,1536,2048,37.59,127.02,1,0,0,0,0
4,r4_p.png,1536,2048,37,127.08,1,0,0,0,0
5,r5_p.png,1536,2048,37,127.08,1,0,0,0,0
6,r6_k.png,1536,2048,37,127.07,1,0,0,0,0
7,r7_k.png,1536,2048,37,127.07,1,0,0,0,0
8,r8_k.png,1536,2048,37,127.07,1,0,0,0,0
9,r9_k.png,1536,2048,37,127.07,1,0,0,0,0
10,r10_k.png,1536,2048,37,127.07,1,0,0,0,0
11,r11_k.png,2048,1536,37,127.07,1,0,0,0,0
12,r12_k.png,1536,2048,37,127.07,1,0,0,0,0
13,r13_k.png,1536,2048,37,127.07,1,0,0,0,0
14,r14_s.png,1536,2048,37.59,127.02,1,0,0,0,0
15,r15_s.png,1536,2048,37.59,127.02,1,0,0,0,0
16,r16_s.png,1536,2048,37.59,127.02,1,0,0,0,0
17,r17_s.png,1536,2048,37.59,127.02,1,0,0,0,0
18,r18_s.png,1536,2048,37.59,127.02,1,0,0,0,0
19,r19_s.png,1536,2048,37.59,127.02,1,0,0,0,0
20,r20_s.png,1536,2048,37.59,127.02,1,0,0,0,0
21,r21_s.png,1536,2048,37.59,127.02,1,0,0,0,0
22,r22_s.png,1536,2048,37.59,127.02,1,0,0,0,0
23,r23_p.png,1536,2048,37,127.08,1,0,0,0,0
24,r24_k.png,1536,2048,37,127.07,1,0,0,0,0
25,r25_k.png,1536,2048,37,127.07,1,0,0,0,0
26,r26_k.png,1536,2048,37,127.07,1,0,0,0,0
27,r27_h.png,1536,2048,37,127.1,1,0,0,0,0
28,r28_h.png,1536,2048,37,127.1,1,0,0,0,0
29,r29_h.png,1636,1922,37,127.1,1,0,0,0,0
30,r30_h.png,1492,2108,37,127.1,1,0,0,0,0
31,r31_h.png,1472,2137,37,127.1,1,0,0,0,0
32,r32_h.png,1569,2003,37,127.1,1,0,0,0,0
33,r33_h.png,1536,2046,37,127.1,1,0,0,0,0
34,r34_h.png,1532,2054,37,127.1,1,0,0,0,0
35,r35_h.png,1536,2048,37,127.1,1,0,0,0,0
36,r36_h.png,1536,2048,37,127.1,1,0,0,0,0
37,r37_h.png,1438,2189,37,127.1,1,0,0,0,0
38,r38_h.jpeg,1536,2048,37,127.1,1,0,0,0,0
39,c1_p.png,1536,2048,37,127.08,1,0,1,0,0
40,c2_p.png,1536,2048,37,127.08,1,0,1,0,0
41,c3_p.png,1536,2048,37,127.08,0,0,1,0,0
42,c4_p.png,1536,2048,37,127.08,0,0,1,0,0
43,c5_p.png,1536,2048,37,127.08,0,0,1,0,0
44,c6_s.png,1536,2048,37.59,127.02,0,0,1,0,0
45,c7_s.png,1536,2048,37.59,127.02,0,0,1,0,0
46,c8_s.png,1536,2048,37.59,127.02,0,0,1,0,0
47,c9_p.png,1536,2048,37,127.08,0,0,1,0,0
48,c10_s.png,1450,2169,37.59,127.02,0,0,1,0,0
