Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,image_1,394,394,37.49,127.06,0,1,0,0,0
2,image_2,648,648,37.49,127.06,0,0,0,0,1
3,image_3,663,575,37.49,127.07,0,0,0,0,1
4,image_4,525,451,37.49,127.07,0,0,0,0,1
5,image_5,639,521,37.5,127.06,1,0,0,0,0
6,image_6,837,807,37.5,127.07,0,0,0,0,1
7,image_7,465,427,37.48,127.04,1,0,0,0,0
8,image_8,1440,1440,37.47,127.04,0,1,0,0,0
9,image_9,533,478,37.5,127.06,1,0,0,0,0
10,image_10,639,759,37.5,127.06,1,0,0,0,0
11,image_11,581,445,37.5,127.06,1,0,0,0,0
12,image_12,409,395,37.5,127.06,1,0,0,0,0
13,image_13,636,443,37.5,127.06,1,0,0,0,0
14,image_14,536,373,37.5,127.07,1,0,0,0,0
15,image_15,335,242,37.5,127.07,1,0,0,0,0
16,image_16,624,426,37.5,127.07,1,0,0,0,0
17,image_17,607,432,37.5,127.07,0,0,0,0,1
18,image_18,483,371,37.52,127.06,1,0,0,0,0
19,image_19,515,403,37.52,127.06,1,0,0,0,0
20,image_20,245,299,37.52,127.06,0,1,0,0,0
21,image_21,351,356,37.52,127.06,0,1,0,0,0
22,image_22,620,431,37.5,127.07,1,0,0,0,0
23,image_23,459,339,37.5,127.07,0,0,0,0,1
24,image_24,489,370,37.5,127.06,1,0,0,0,0
25,image_25,421,325,37.5,127.06,0,1,0,0,0
26,image_26,548,399,37.5,127.06,1,0,0,0,0
27,image_27,1400,700,37.5,127.06,0,1,0,0,0
28,image_28,1400,700,37.51,127.07,1,0,0,0,0
29,image_29,285,191,37.51,127.07,0,1,0,0,0
30,image_30,601,432,37.51,127.07,1,0,0,0,0
31,image_31,581,503,37.51,127.07,1,0,0,0,0
32,image_32,499,346,37.51,127.08,1,0,0,0,0
33,image_33,443,329,37.51,127.08,0,1,0,0,0
34,image_34,480,330,37.51,127.08,0,1,0,0,0
35,image_35,483,367,37.51,127.08,1,0,0,0,0
36,image_36,545,443,37.51,127.08,0,0,1,0,0
37,image_37,377,310,37.52,127.09,1,0,0,0,0
38,image_38,615,427,37.51,127.06,1,0,0,0,0
39,image_39,540,370,37.5,127.06,1,0,0,0,0
40,image_40,565,401,37.5,127.06,1,0,0,0,0
41,image_41,406,318,37.5,127.07,0,1,0,0,0
42,image_42,540,355,37.49,127.07,1,0,0,0,0
43,image_43,489,385,37.48,127.05,0,1,0,0,0
44,image_44,1055,917,37.51,127.06,1,0,0,0,0
45,image_45,811,1440,37.48,127.05,0,1,0,0,0
46,image_46,347,346,37.48,127.05,0,0,0,0,1
47,image_47,325,301,37.48,127.05,1,0,0,0,0
48,image_48,320,285,37.48,127.05,1,0,0,0,0
49,image_49,242,246,37.5,127.07,0,1,0,0,0
50,image_50,479,374,37.5,127.07,0,1,0,0,0
51,image_51,450,350,37.48,127.05,0,1,0,0,0
52,image_52,835,745,37.48,127.05,0,0,0,0,1
53,image_53,629,439,37.48,127.05,1,0,0,0,0
54,image_54,849,837,37.53,126.92,0,0,1,0,0
