Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,sample01,1736,2937,37.21,127.7,1,0,0,0,0
2,sample02,3024,4032,37.21,127.7,1,0,0,0,0
3,sample03,3024,4032,37.21,127.7,1,0,0,0,0
4,sample04,3024,4032,37.21,127.7,1,0,0,0,0
5,sample05,3024,4032,37.21,127.7,0,1,0,0,0
6,sample06,3024,4032,37.21,127.7,0,1,0,0,0
7,sample07,3024,4032,37.21,127.7,1,0,0,0,0
8,sample08,3024,4032,37.21,127.7,1,0,0,0,0
9,sample09,3024,4032,37.21,127.7,0,1,0,0,0
10,sample10,3024,4032,37.21,127.7,0,1,0,0,0
11,sample11,2211,2712,37.21,127.7,0,1,0,0,0
12,sample12,3024,4032,37.21,127.7,0,1,0,0,0
13,sample13,3024,2439,37.21,127.7,0,1,0,0,0
14,sample14,1102,1350,37.21,127.7,0,1,0,0,0
15,sample15,3024,4032,37.21,127.7,1,0,0,0,0
16,sample16,2041,2654,37.21,127.7,1,0,0,0,0
17,sample17,3024,4032,37.35,127.1,1,0,0,0,0
18,sample18,3024,4032,37.35,127.1,1,0,0,0,0
19,sample19,1297,1415,37.35,127.1,0,1,0,0,0
20,sample20,3024,4032,37.34,127.0,1,0,0,0,0
21,sample21,3024,4032,37.35,127.0,1,0,0,0,0
22,sample22,3024,4032,37.35,127.0,1,0,0,0,0
23,sample23,1827,1952,37.35,127.0,1,0,0,0,0
24,sample24,2034,2117,37.35,127.0,1,0,0,0,0
25,sample25,3024,4032,37.35,127.0,0,1,0,0,0
26,sample26,1838,1641,37.35,127.0,0,1,0,0,0
27,sample27,2245,1987,37.35,127.0,1,0,0,0,0
28,sample28,2124,2322,37.35,127.0,1,0,0,0,0
29,sample29,3024,4032,37.29,127.3,0,1,0,0,0
30,sample30,3024,4032,37.29,127.3,1,0,0,0,1
31,sample31,3024,4032,37.29,127.3,1,0,0,0,1
32,sample32,3024,4032,37.29,127.3,1,0,0,0,1
33,sample33,3024,4032,37.22,127.6,0,1,0,0,0
34,sample34,3024,4032,37.22,127.6,1,0,0,0,0
35,sample35,3024,4032,37.22,127.6,0,1,0,0,0
36,sample36,3024,4032,37.22,127.6,0,1,0,0,0
37,sample37,3024,4032,37.22,127.6,0,1,0,0,0
38,sample38,3024,4032,37.22,127.6,1,0,0,0,0
39,sample39,3024,4032,37.22,127.6,0,0,0,0,1
