Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,SeongBuk_1a,3024,4032,37.58,127.01,1,0,0,0,0
2,SeongBuk_1b,3024,4032,37.58,127.01,1,0,0,0,0
3,SeongBuk_2a,3024,4032,37.58,127.01,0,1,0,0,0
4,SeongBuk_2b,3024,4032,37.58,127.01,0,1,0,0,0
5,SeongBuk_3a,3024,4032,37.58,127.02,0,1,0,0,0
6,SeongBuk_3b,3024,4032,37.58,127.02,0,1,0,0,0
7,SeongBuk_4a,3024,4032,37.58,127.02,0,0,1,0,0
8,SeongBuk_4b,4032,3024,37.58,127.02,0,0,1,0,0
9,SeongBuk_5a,3024,4032,37.58,127.01,0,1,0,0,0
10,SeongBuk_5b,3024,4032,37.58,127.01,0,1,0,0,0
11,Anyang_1a,3024,4032,37.52,126.88,0,1,0,0,0
12,Anyang_1b,3024,4032,37.52,126.88,0,1,0,0,0
13,Anyang_2a,3024,4032,37.51,126.87,0,1,0,0,0
14,Anyang_2b,3024,4032,37.51,126.87,0,1,0,0,0
15,Anyang_2c,3024,4032,37.51,126.87,0,1,0,0,0
16,Anyang_3a,3024,4032,37.51,126.87,0,1,0,0,0
17,Anyang_3b,3024,4032,37.51,126.87,0,1,0,0,0
18,Anyang_3c,3024,4032,37.51,126.87,0,1,0,0,0
19,Anyang_4a,3024,4032,37.51,126.87,0,1,0,0,0
20,Dorim_1a,3024,4032,37.51,126.88,1,0,0,0,0
21,Dorim_1b,3024,4032,37.51,126.88,1,0,0,0,0
22,Dorim_2a,3024,4032,37.51,126.88,0,1,0,0,0
23,Dorim_2b,3024,4032,37.51,126.88,0,1,0,0,0
24,Dorim_2c,3024,4032,37.51,126.88,0,1,0,0,0
25,Dorim_3a,3024,4032,37.51,126.88,1,0,0,0,0
26,Dorim_3b,3024,4032,37.51,126.88,1,0,0,0,0
27,Dorim_4a,3024,4032,37.51,126.88,0,0,1,0,0
28,Dorim_4b,3024,4032,37.51,126.88,0,0,1,0,0
29,Dorim_5a,3024,4032,37.51,126.88,1,1,0,0,0
30,Dorim_5b,3024,4032,37.51,126.88,1,1,0,0,0
31,Dorim_6a,4032,3024,37.51,126.88,0,1,0,0,0
32,Dorim_7a,4032,3024,37.51,126.88,1,1,0,0,0
33,Dorim_8a,3024,4032,37.51,126.88,1,1,0,0,0
34,Dorim_9a,4032,3024,37.51,126.88,0,1,0,0,0
35,Dorim_10a,3024,4032,37.51,126.88,1,0,0,0,0
36,Dorim_10b,3024,4032,37.51,126.88,1,0,0,0,0
37,Dorim_11a,3024,4032,37.51,126.88,1,1,0,0,0
38,Dorim_11b,3024,4032,37.51,126.88,1,1,0,0,0
39,Dorim_12a,3024,4032,37.51,126.88,1,0,0,0,0
40,Dorim_12b,3024,4032,37.51,126.88,1,0,0,0,0
41,Dorim_13a,4032,3024,37.51,126.88,1,0,0,0,0
42,Dorim_13b,4032,3024,37.51,126.88,1,0,0,0,0
43,Dorim_14a,3024,4032,37.51,126.88,1,0,0,0,0
44,Dorim_15a,4032,3024,37.51,126.88,1,1,0,0,0
45,Dorim_16a,4032,3024,37.51,126.88,0,1,0,0,0
46,Dorim_17a,4032,3024,37.51,126.88,1,1,0,0,0
47,Dorim_17b,3024,4032,37.51,126.88,1,1,0,0,0
48,Dorim_18a,3024,4032,37.51,126.88,0,0,1,0,0
49,Dorim_18b,3024,4032,37.51,126.88,0,0,1,0,0
50,Dorim_18c,3024,4032,37.51,126.88,0,0,1,0,0
51,Dorim_19a,3024,4032,37.51,126.88,0,1,0,0,0
52,Dorim_20a,3024,4032,37.51,126.88,0,0,0,0,1
53,Dorim_20b,3024,4032,37.51,126.88,0,0,0,0,1
54,Dorim_21a,3024,4032,37.51,126.88,0,1,0,0,0
55,Dorim_21b,3024,4032,37.51,126.88,0,1,0,0,0
56,Dorim_22a,3024,4032,37.51,126.88,0,1,0,0,0
57,Dorim_22b,4032,3024,37.51,126.88,0,1,0,0,0
58,Dorim_23a,3024,4032,37.51,126.88,0,1,0,0,0
59,Dorim_23b,3024,4032,37.51,126.88,0,1,0,0,0
60,Dorim_23c,3024,4032,37.51,126.88,0,1,0,0,0
61,Dorim_24a,4032,3024,37.51,126.88,0,1,0,0,0
62,SeongBuk_6a,3024,4032,37.58,127.01,0,1,0,0,0
63,SeongBuk_7a,3024,4032,37.58,127.01,0,1,0,0,0
64,SeongBuk_7b,3024,4032,37.58,127.01,0,1,0,0,0
65,SeongBuk_8a,3024,4032,37.58,127.01,1,0,0,0,0
