Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,sample001_ms,2174,1725,37.46,126.83,0,1,0,0,0
2,sample002_ms,1376,1296,37.46,126.83,0,1,0,0,0
3,sample003_ms,1502,1502,37.46,126.83,0,0,0,0,1
4,sample004_ms,1192,1193,37.4654,126.8388,1,1,0,1,0
5,sample005_ms,4032,2268,37.4632,126.844,1,1,0,0,0
6,sample006_ms,1305,1305,37.4825,126.8536,0,1,0,0,0
7,sample007_ms,4032,2268,37.4893,126.8965,1,0,0,0,0
8,sample008_ms,1213,1213,37.4882,126.8973,0,1,0,0,0
9,sample009_ms,4032,2268,37.4884,126.8972,0,1,0,0,0
10,sample010_ms,4032,2268,37.4884,126.8972,0,1,0,0,0
11,sample011_ms,4032,2268,37.4864,126.8989,1,0,0,0,0
12,sample012_ms,4032,2268,37.4859,126.9003,0,0,0,0,1
13,sample013_ms,4032,2268,37.4848,126.9041,0,1,0,0,0
14,sample014_ms,4032,2268,37.4853,126.9044,0,1,0,0,0
15,sample015_ms,4032,2268,37.4878,126.9041,0,1,0,0,0
16,sample016_ms,4032,2268,37.4849,126.9044,0,1,0,0,0
17,sample017_ms,1056,1056,37.4849,126.9045,0,0,0,0,1
18,sample018_ms,4032,2268,37.4849,126.9045,1,1,0,0,1
19,sample019_ms,1707,1707,37.4859,126.9,0,1,0,0,0
20,sample020_ms,4032,2268,37.4873,126.898,0,0,0,0,1
21,sample021_ms,4032,2268,37.4884,126.897,0,1,0,0,0
22,sample022_ms,4032,2268,37.4884,126.897,1,0,0,0,0
23,sample023_ms,4032,2268,37.4896,126.8964,1,0,0,0,0
24,sample024_ms,4032,2268,37.49,126.896,1,1,0,0,0
25,sample025_ms,4032,2268,37.4903,126.8962,0,1,0,0,0
26,sample026_ms,4032,2268,37.496,126.8941,1,0,1,0,0
27,sample027_ms,4032,2268,37.4679,126.8426,1,0,0,0,0
28,sample028_ms,4032,2268,37.4655,126.8389,0,1,0,0,0
29,sample029_ms,4032,2268,37.4655,126.8385,1,0,0,0,0
30,sample030_ms,4032,2268,37.4655,126.8335,0,1,0,0,0
31,sample031_ms,4032,2268,37.4661,126.831,1,0,0,0,0
32,sample032_ms,1565,1565,37.4662,126.8308,1,0,0,0,0
33,sample033_ms,4032,2268,37.4677,126.8267,1,0,0,0,0
34,sample034_ms,4032,2268,37.4678,126.8267,0,1,0,0,0
35,sample035_ms,4032,2268,37.4688,126.8257,1,0,0,0,0
36,sample036_ms,3024,3024,37.31,126.55,1,0,0,0,0
37,sample037_ms,3024,3024,37.31,126.55,1,1,0,0,0
38,sample038_ms,3024,3024,37.31,126.55,1,0,0,0,0
39,sample039_ms,3024,3024,37.31,126.55,0,1,0,0,0
40,sample040_ms,3024,3024,37.31,126.55,1,0,0,0,0
41,sample041_ms,3024,3024,37.31,126.55,1,1,0,0,0
42,sample042_ms,3024,3024,37.32,126.55,0,1,0,0,0
43,sample043_ms,3024,3024,37.32,126.55,0,0,0,0,1
44,sample044_ms,3024,3024,37.32,126.55,1,0,0,0,0
45,sample045_ms,3024,3024,37.32,126.55,0,1,0,0,0
46,sample046_ms,3024,3024,37.32,126.55,0,1,0,0,0
47,sample047_ms,3024,3024,37.32,126.55,1,0,0,0,0
48,sample048_ms,3024,3024,37.32,126.55,0,0,0,0,1
49,sample049_ms,3024,3024,37.32,126.55,0,0,0,0,1
50,sample050_ms,3024,3024,37.32,126.55,1,1,0,0,0
51,sample051_ms,3024,3024,37.32,126.55,1,1,0,0,0
52,sample052_ms,3024,3024,37.32,126.55,1,1,0,0,0
53,sample053_ms,3024,3024,37.5357,126.9131,0,1,0,0,0
54,sample054_ms,3024,3024,37.5295,126.9097,0,1,0,0,0
55,sample055_ms,3024,3024,37.5297,126.9115,0,1,0,0,0
56,sample056_ms,3024,3024,37.4831,126.8194,1,0,0,0,0
57,sample057_ms,3024,3024,37.4828,126.8195,1,0,0,0,0
58,sample058_ms,3024,3024,37.4828,126.8195,1,0,0,0,0
59,sample059_ms,3024,3024,37.4824,126.8197,0,0,0,1,0
60,sample060_ms,3024,3024,37.4825,126.8197,0,1,0,0,0
61,sample061_ms,3024,3024,37.4825,126.8196,0,1,0,0,0
62,sample062_ms,3024,3024,37.4824,126.8195,0,1,0,0,0
63,sample063_ms,3024,3024,37.4812,126.8203,0,1,0,0,0
64,sample064_ms,3024,3024,37.4815,126.8202,0,1,0,0,0
65,sample065_ms,3024,3024,37.4813,126.8202,0,1,0,0,0
66,sample066_ms,3024,3024,37.4814,126.82,0,1,0,0,0
67,sample067_ms,3024,3024,37.4812,126.8201,0,1,0,0,0
68,sample068_ms,3024,3024,37.4813,126.8201,0,0,1,0,0
69,sample069_ms,3024,3024,37.481,126.8201,0,0,0,0,1
70,sample070_ms,3024,3024,37.481,126.8202,0,1,0,0,0
71,sample071_ms,3024,3024,37.481,126.82,0,1,0,0,0
72,sample072_ms,3024,3024,37.4808,126.8203,0,0,1,0,0
73,sample073_ms,3024,3024,37.4811,126.8199,0,0,0,0,1
74,sample074_ms,3024,3024,37.481,126.82,0,1,0,0,0
75,sample075_ms,3024,3024,37.481,126.8199,0,1,0,0,0
76,sample076_ms,3024,3024,37.4797,126.8207,1,0,0,0,0
77,sample077_ms,3024,3024,37.4782,126.8215,1,0,0,0,0
78,sample078_ms,3024,3024,37.4759,126.8216,0,1,0,0,0
79,sample079_ms,3024,3024,37.4759,126.8216,1,0,0,0,0
80,sample080_ms,3024,3024,37.4727,126.823,0,1,0,0,0
81,sample081_ms,3024,3024,37.4713,126.8241,0,1,0,0,0
82,sample082_ms,3024,3024,37.4676,126.8268,1,0,0,0,0
83,sample083_ms,3024,3024,37.4669,126.8296,0,1,0,0,0
84,sample084_ms,3024,3024,37.4656,126.8332,0,1,0,0,0
85,sample085_ms,3024,3024,37.4687,126.8435,0,0,1,0,0
86,sample086_ms,3024,3024,37.4687,126.8435,0,1,0,0,0
87,sample087_ms,3024,3024,37.5901,127.017,0,1,0,0,0
88,sample088_ms,3024,3024,37.5903,127.0168,0,1,0,0,0
89,sample089_ms,3024,3024,37.5904,127.0168,1,0,0,0,0
90,sample090_ms,3024,3024,37.5907,127.0165,0,1,0,0,0
91,sample091_ms,3024,3024,37.5905,127.0167,0,1,0,0,0
92,sample092_ms,3024,3024,37.5904,127.0167,0,1,0,0,0
93,sample093_ms,3024,3024,37.5905,127.0163,0,1,0,0,0
94,sample094_ms,3024,3024,37.5905,127.0166,0,1,0,0,0
95,sample095_ms,3024,3024,37.5904,127.0167,0,1,0,0,0
96,sample096_ms,3024,3024,37.5902,127.017,0,1,0,0,0
97,sample097_ms,3024,3024,37.5904,127.0167,0,1,0,0,0
98,sample098_ms,3024,3024,37.5285,127.91,1,0,0,0,0
